代码,名称
000055,方大集团
000151,中成股份
000401,金隅冀东
000421,南京公用
000503,国新健康
000524,岭南控股
000554,泰山石油
000568,泸州老窖
000590,古汉医药
000638,*ST万方
000639,西王食品
000651,格力电器
000710,贝瑞基因
000789,万年青
000803,山高环能
000818,航锦科技
000838,财信发展
000863,三湘印象
000877,天山股份
001207,联科科技
001331,胜通能源
001386,马可波罗
002019,亿帆医药
002021,中捷资源
002044,美年健康
002045,国光电器
002086,东方海洋
002092,中泰化学
002094,青岛金王
002101,广东鸿图
002104,恒宝股份
002110,三钢闽光
002146,荣盛发展
002175,东方智造
002197,证通电子
002252,上海莱士
002258,利尔化学
002311,海大集团
002355,兴民智通
002357,富临运业
002374,中锐股份
002431,棕榈股份
002434,万里扬
002474,榕基软件
002514,宝馨科技
002542,*ST中岩
002574,明牌珠宝
002575,群兴玩具
002592,ST八菱
002596,海南瑞泽
002627,三峡旅游
002634,棒杰股份
002670,国盛证券
002672,东江环保
002677,浙江美大
002717,ST岭南
002731,ST萃华
002775,文科股份
002791,坚朗五金
002808,*ST恒久
002809,红墙股份
002828,贝肯能源
002847,盐津铺子
002864,盘龙药业
003001,中岩大地
600017,日照港
600026,中远海能
600028,中国石化
600061,国投资本
600113,浙江东日
600132,重庆啤酒
600187,国中水务
600193,*ST创兴
600216,浙江医药
600280,中央商场
600289,ST信通
600292,电投水电
600293,三峡新材
600295,鄂尔多斯
600298,安琪酵母
600299,安迪苏
600300,维维股份
600301,华锡有色
600302,标准股份
600339,中油工程
600355,*ST精伦
600436,片仔癀
600446,金证股份
600515,海南机场
600606,绿地控股
600608,*ST沪科
600679,上海凤凰
600688,上海石化
600725,云维股份
600734,实达集团
600745,闻泰科技
600818,中路股份
600827,百联股份
600866,星湖科技
600873,梅花生物
600881,亚泰集团
600887,伊利股份
600917,重庆燃气
600935,华塑股份
600968,海油发展
600981,苏豪汇鸿
601186,中国铁建
601228,广州港
601279,英利汽车
601399,国机重装
601766,中国中车
601800,中国交建
601808,中海油服
601818,光大银行
601880,辽港股份
601919,中远海控
